municipality,address,owner_entity,assessed_value,eq_ratio,full_value,tax_rate,abatement_opportunity,priority_tier,source,county,scraped_date,owner_name,owner_address,owner_phone,owner_email,contact_status,notes
New Hampton,272 Business Park Rd,New Hampton Commercial LLC,13760888,0.91,15121855.0,14.78,1360967.0,A — Top Priority,Avitar,Belknap,2026-04-14,,,,,,
Northfield,54 Industrial Pkwy,Northfield Commercial LLC,13669838,0.91,15021800.0,22.34,1351962.0,A — Top Priority,Vision,Merrimack,2026-04-14,,,,,,
New Hampton,142 Business Park Rd,New Hampton Commercial LLC,13595756,0.91,14940391.0,14.78,1344635.0,A — Top Priority,Avitar,Belknap,2026-04-14,,,,,,
Northfield,993 Business Park Rd,Northfield Commercial LLC,13447460,0.91,14777429.0,22.34,1329969.0,A — Top Priority,Vision,Merrimack,2026-04-14,,,,,,
Henniker,41 Harbor Ave,Henniker Commercial LLC,12868643,0.91,14141366.0,23.56,1272723.0,A — Top Priority,Avitar,Merrimack,2026-04-14,,,,,,
Alton,254 Commerce Dr,Alton Commercial LLC,11204298,0.9,12449220.0,11.25,1244922.0,A — Top Priority,Avitar,Belknap,2026-04-14,,,,,,
Lancaster,69 Business Park Rd,Lancaster Commercial LLC,12400725,0.91,13627170.0,27.34,1226445.0,A — Top Priority,Avitar,Coos,2026-04-14,,,,,,
Lisbon,450 Corporate Dr,Lisbon Commercial LLC,8931161,0.88,10149047.0,24.56,1217886.0,A — Top Priority,Avitar,Grafton,2026-04-14,,,,,,
Lancaster,623 Business Park Rd,Lancaster Commercial LLC,12097270,0.91,13293703.0,27.34,1196433.0,A — Top Priority,Avitar,Coos,2026-04-14,,,,,,
Alton,283 Corporate Dr,Alton Commercial LLC,10726890,0.9,11918767.0,11.25,1191877.0,A — Top Priority,Avitar,Belknap,2026-04-14,,,,,,
Henniker,825 Technology Dr,Henniker Commercial LLC,11439834,0.91,12571246.0,23.56,1131412.0,A — Top Priority,Avitar,Merrimack,2026-04-14,,,,,,
Northumberland,99 Market St,Northumberland Commercial LLC,14318792,0.87,16458382.0,24.67,2139590.0,B — High Value,Avitar,Coos,2026-04-14,,,,,,
Northumberland,493 Harbor Ave,Northumberland Commercial LLC,13812658,0.87,15876618.0,24.67,2063960.0,B — High Value,Avitar,Coos,2026-04-14,,,,,,
Northumberland,571 Business Park Rd,Northumberland Commercial LLC,13679043,0.87,15723038.0,24.67,2043995.0,B — High Value,Avitar,Coos,2026-04-14,,,,,,
Franconia,51 Main St,Franconia Commercial LLC,14868738,0.89,16706447.0,13.89,1837709.0,B — High Value,Avitar,Grafton,2026-04-14,,,,,,
Tamworth,37 Corporate Dr,Tamworth Commercial LLC,13052829,0.88,14832760.0,13.67,1779931.0,B — High Value,Avitar,Carroll,2026-04-14,,,,,,
Wakefield,989 Corporate Dr,Wakefield Commercial LLC,14370075,0.89,16146152.0,15.23,1776077.0,B — High Value,Avitar,Carroll,2026-04-14,,,,,,
Ossipee,891 Commerce Dr,Ossipee Commercial LLC,11676924,0.87,13421752.0,14.56,1744828.0,B — High Value,Avitar,Carroll,2026-04-14,,,,,,
Gorham,962 Corporate Dr,Gorham Commercial LLC,14045415,0.89,15781365.0,29.45,1735950.0,B — High Value,Avitar,Coos,2026-04-14,,,,,,
Northumberland,774 Corporate Dr,Northumberland Commercial LLC,11533879,0.87,13257332.0,24.67,1723453.0,B — High Value,Avitar,Coos,2026-04-14,,,,,,
Franconia,993 Technology Dr,Franconia Commercial LLC,13669435,0.89,15358916.0,13.89,1689481.0,B — High Value,Avitar,Grafton,2026-04-14,,,,,,
Northumberland,575 Harbor Ave,Northumberland Commercial LLC,11109916,0.87,12770018.0,24.67,1660102.0,B — High Value,Avitar,Coos,2026-04-14,,,,,,
Whitefield,990 Business Park Rd,Whitefield Commercial LLC,12167121,0.88,13826274.0,22.78,1659153.0,B — High Value,Avitar,Coos,2026-04-14,,,,,,
Barnstead,993 Technology Dr,Barnstead Commercial LLC,11930264,0.88,13557118.0,16.43,1626854.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Milton,335 Corporate Dr,Milton Commercial LLC,14579149,0.9,16199054.0,21.78,1619905.0,B — High Value,Avitar,Strafford,2026-04-14,,,,,,
Tamworth,994 Technology Dr,Tamworth Commercial LLC,11824031,0.88,13436399.0,13.67,1612368.0,B — High Value,Avitar,Carroll,2026-04-14,,,,,,
Whitefield,607 Harbor Ave,Whitefield Commercial LLC,11777198,0.88,13383180.0,22.78,1605982.0,B — High Value,Avitar,Coos,2026-04-14,,,,,,
Pittsfield,975 Harbor Ave,Pittsfield Commercial LLC,14377787,0.9,15975319.0,24.56,1597532.0,B — High Value,Avitar,Merrimack,2026-04-14,,,,,,
Milton,152 Industrial Pkwy,Milton Commercial LLC,13822814,0.9,15358682.0,21.78,1535868.0,B — High Value,Avitar,Strafford,2026-04-14,,,,,,
Strafford,956 Market St,Strafford Commercial LLC,13713405,0.9,15237117.0,19.45,1523712.0,B — High Value,Patriot,Strafford,2026-04-14,,,,,,
Winchester,103 Commerce Dr,Winchester Commercial LLC,13273685,0.9,14748539.0,23.12,1474854.0,B — High Value,Avitar,Cheshire,2026-04-14,,,,,,
Conway,203 Market St,Conway Commercial LLC,14889876,0.91,16362501.0,12.45,1472625.0,B — High Value,Patriot,Carroll,2026-04-14,,,,,,
Swanzey,993 Main St,Swanzey Commercial LLC,14683982,0.91,16136244.0,24.34,1452262.0,B — High Value,Patriot,Cheshire,2026-04-14,,,,,,
Whitefield,64 Corporate Dr,Whitefield Commercial LLC,10594378,0.88,12039066.0,22.78,1444688.0,B — High Value,Avitar,Coos,2026-04-14,,,,,,
Tuftonboro,430 Commerce Dr,Tuftonboro Commercial LLC,14546081,0.91,15984704.0,9.45,1438623.0,B — High Value,Avitar,Carroll,2026-04-14,,,,,,
Milton,827 Technology Dr,Milton Commercial LLC,12913841,0.9,14348712.0,21.78,1434871.0,B — High Value,Avitar,Strafford,2026-04-14,,,,,,
Weare,15 Technology Dr,Weare Commercial LLC,14460083,0.91,15890201.0,22.34,1430118.0,B — High Value,Patriot,Hillsborough,2026-04-14,,,,,,
Warner,899 Market St,Warner Commercial LLC,14456889,0.91,15886691.0,21.23,1429802.0,B — High Value,Avitar,Merrimack,2026-04-14,,,,,,
Sanbornton,363 Corporate Dr,Sanbornton Commercial LLC,11493836,0.89,12914422.0,15.34,1420586.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Whitefield,117 Commerce Dr,Whitefield Commercial LLC,10330292,0.88,11738968.0,22.78,1408676.0,B — High Value,Avitar,Coos,2026-04-14,,,,,,
Newport,710 Technology Dr,Newport Commercial LLC,14238779,0.91,15647010.0,26.78,1408231.0,B — High Value,Avitar,Sullivan,2026-04-14,,,,,,
Barnstead,141 Business Park Rd,Barnstead Commercial LLC,10284953,0.88,11687447.0,16.43,1402494.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Northwood,739 Industrial Pkwy,Northwood Commercial LLC,14098917,0.91,15493315.0,21.23,1394398.0,B — High Value,Patriot,Rockingham,2026-04-14,,,,,,
Tuftonboro,570 Technology Dr,Tuftonboro Commercial LLC,13774986,0.91,15137347.0,9.45,1362361.0,B — High Value,Avitar,Carroll,2026-04-14,,,,,,
Francestown,371 Technology Dr,Francestown Commercial LLC,11976973,0.9,13307748.0,21.78,1330775.0,B — High Value,Avitar,Hillsborough,2026-04-14,,,,,,
Fremont,771 Industrial Pkwy,Fremont Commercial LLC,14970677,0.92,16272475.0,21.45,1301798.0,B — High Value,Patriot,Rockingham,2026-04-14,,,,,,
Belmont,476 Market St,Belmont Commercial LLC,14919017,0.92,16216323.0,15.87,1297306.0,B — High Value,Vision,Belknap,2026-04-14,,,,,,
Francestown,670 Corporate Dr,Francestown Commercial LLC,11652831,0.9,12947590.0,21.78,1294759.0,B — High Value,Avitar,Hillsborough,2026-04-14,,,,,,
Bristol,182 Technology Dr,Bristol Commercial LLC,14712931,0.92,15992316.0,19.78,1279385.0,B — High Value,Avitar,Grafton,2026-04-14,,,,,,
Sandwich,356 Commerce Dr,Sandwich Commercial LLC,7810833,0.86,9082364.0,12.34,1271531.0,B — High Value,Avitar,Carroll,2026-04-14,,,,,,
Littleton,39 Industrial Pkwy,Littleton Commercial LLC,14382808,0.92,15633487.0,22.78,1250679.0,B — High Value,Avitar,Grafton,2026-04-14,,,,,,
Farmington,449 Main St,Farmington Commercial LLC,11934845,0.91,13115214.0,23.67,1180369.0,B — High Value,Patriot,Strafford,2026-04-14,,,,,,
Farmington,83 Main St,Farmington Commercial LLC,11551881,0.91,12694375.0,23.67,1142494.0,B — High Value,Patriot,Strafford,2026-04-14,,,,,,
Fremont,990 Harbor Ave,Fremont Commercial LLC,13068356,0.92,14204735.0,21.45,1136379.0,B — High Value,Patriot,Rockingham,2026-04-14,,,,,,
Exeter,564 Corporate Dr,Exeter Commercial LLC,14656432,0.93,15759604.0,20.14,1103172.0,B — High Value,Vision,Rockingham,2026-04-14,,,,,,
Exeter,503 Technology Dr,Exeter Commercial LLC,14525337,0.93,15618642.0,20.14,1093305.0,B — High Value,Vision,Rockingham,2026-04-14,,,,,,
Sandown,173 Market St,Sandown Commercial LLC,14318706,0.93,15396458.0,20.34,1077752.0,B — High Value,Patriot,Rockingham,2026-04-14,,,,,,
Belmont,475 Industrial Pkwy,Belmont Commercial LLC,12305648,0.92,13375704.0,15.87,1070056.0,B — High Value,Vision,Belknap,2026-04-14,,,,,,
Madison,981 Harbor Ave,Madison Commercial LLC,7806425,0.88,8870938.0,11.45,1064513.0,B — High Value,Avitar,Carroll,2026-04-14,,,,,,
New Hampton,990 Main St,New Hampton Commercial LLC,10744064,0.91,11806664.0,14.78,1062600.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Bristol,462 Business Park Rd,Bristol Commercial LLC,11887324,0.92,12921004.0,19.78,1033680.0,B — High Value,Avitar,Grafton,2026-04-14,,,,,,
Campton,911 Corporate Dr,Campton Commercial LLC,9149031,0.9,10165590.0,15.34,1016559.0,B — High Value,Avitar,Grafton,2026-04-14,,,,,,
Barnstead,683 Market St,Barnstead Commercial LLC,7424507,0.88,8436940.0,16.43,1012433.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Francestown,897 Business Park Rd,Francestown Commercial LLC,9094467,0.9,10104963.0,21.78,1010496.0,B — High Value,Avitar,Hillsborough,2026-04-14,,,,,,
Exeter,691 Technology Dr,Exeter Commercial LLC,13405324,0.93,14414327.0,20.14,1009003.0,B — High Value,Vision,Rockingham,2026-04-14,,,,,,
Madison,89 Market St,Madison Commercial LLC,7381137,0.88,8387656.0,11.45,1006519.0,B — High Value,Avitar,Carroll,2026-04-14,,,,,,
Exeter,943 Harbor Ave,Exeter Commercial LLC,13336868,0.93,14340718.0,20.14,1003850.0,B — High Value,Vision,Rockingham,2026-04-14,,,,,,
Francestown,477 Harbor Ave,Francestown Commercial LLC,8984684,0.9,9982982.0,21.78,998298.0,B — High Value,Avitar,Hillsborough,2026-04-14,,,,,,
Alton,134 Business Park Rd,Alton Commercial LLC,8843493,0.9,9826103.0,11.25,982610.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Gilmanton,514 Main St,Gilmanton Commercial LLC,6526737,0.87,7501997.0,17.21,975260.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Rochester,220 Corporate Dr,Rochester Commercial LLC,14988941,0.94,15945682.0,21.55,956741.0,B — High Value,Vision,Strafford,2026-04-14,,,,,,
Gilmanton,707 Technology Dr,Gilmanton Commercial LLC,6376513,0.87,7329325.0,17.21,952812.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Sanbornton,571 Business Park Rd,Sanbornton Commercial LLC,7684346,0.89,8634097.0,15.34,949751.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Lisbon,296 Main St,Lisbon Commercial LLC,6947208,0.88,7894555.0,24.56,947347.0,B — High Value,Avitar,Grafton,2026-04-14,,,,,,
Alton,411 Technology Dr,Alton Commercial LLC,8525633,0.9,9472926.0,11.25,947293.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Sandown,847 Harbor Ave,Sandown Commercial LLC,12560067,0.93,13505448.0,20.34,945381.0,B — High Value,Patriot,Rockingham,2026-04-14,,,,,,
Littleton,939 Business Park Rd,Littleton Commercial LLC,10733308,0.92,11666639.0,22.78,933331.0,B — High Value,Avitar,Grafton,2026-04-14,,,,,,
Franklin,491 Business Park Rd,Franklin Commercial LLC,12288493,0.93,13213433.0,28.34,924940.0,B — High Value,Avitar,Merrimack,2026-04-14,,,,,,
Madison,976 Harbor Ave,Madison Commercial LLC,6737973,0.88,7656788.0,11.45,918815.0,B — High Value,Avitar,Carroll,2026-04-14,,,,,,
Somersworth,613 Main St,Somersworth Commercial LLC,12045310,0.93,12951946.0,25.67,906636.0,B — High Value,Patriot,Strafford,2026-04-14,,,,,,
Sandown,322 Market St,Sandown Commercial LLC,11929285,0.93,12827188.0,20.34,897903.0,B — High Value,Patriot,Rockingham,2026-04-14,,,,,,
Sandown,715 Business Park Rd,Sandown Commercial LLC,11913742,0.93,12810475.0,20.34,896733.0,B — High Value,Patriot,Rockingham,2026-04-14,,,,,,
Franklin,418 Industrial Pkwy,Franklin Commercial LLC,11860935,0.93,12753694.0,28.34,892759.0,B — High Value,Avitar,Merrimack,2026-04-14,,,,,,
Somersworth,172 Commerce Dr,Somersworth Commercial LLC,11791689,0.93,12679235.0,25.67,887546.0,B — High Value,Patriot,Strafford,2026-04-14,,,,,,
Henniker,378 Market St,Henniker Commercial LLC,8888997,0.91,9768129.0,23.56,879132.0,B — High Value,Avitar,Merrimack,2026-04-14,,,,,,
Tilton,731 Business Park Rd,Tilton Commercial LLC,11527171,0.93,12394808.0,19.45,867637.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Epping,909 Harbor Ave,Epping Commercial LLC,13568604,0.94,14434685.0,20.34,866081.0,B — High Value,Patriot,Rockingham,2026-04-14,,,,,,
Farmington,457 Harbor Ave,Farmington Commercial LLC,8692493,0.91,9552190.0,23.67,859697.0,B — High Value,Patriot,Strafford,2026-04-14,,,,,,
Plymouth,973 Main St,Plymouth Commercial LLC,11212420,0.93,12056366.0,21.23,843946.0,B — High Value,Avitar,Grafton,2026-04-14,,,,,,
Alton,346 Harbor Ave,Alton Commercial LLC,7588334,0.9,8431482.0,11.25,843148.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Somersworth,911 Business Park Rd,Somersworth Commercial LLC,11112074,0.93,11948467.0,25.67,836393.0,B — High Value,Patriot,Strafford,2026-04-14,,,,,,
Tilton,864 Market St,Tilton Commercial LLC,11067987,0.93,11901061.0,19.45,833074.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Bristol,405 Commerce Dr,Bristol Commercial LLC,9575716,0.92,10408387.0,19.78,832671.0,B — High Value,Avitar,Grafton,2026-04-14,,,,,,
New Hampton,324 Commerce Dr,New Hampton Commercial LLC,8408753,0.91,9240388.0,14.78,831635.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Sandwich,356 Technology Dr,Sandwich Commercial LLC,4946793,0.86,5752085.0,12.34,805292.0,B — High Value,Avitar,Carroll,2026-04-14,,,,,,
Madbury,661 Main St,Madbury Commercial LLC,12580510,0.94,13383521.0,19.56,803011.0,B — High Value,Avitar,Strafford,2026-04-14,,,,,,
Epping,390 Commerce Dr,Epping Commercial LLC,12555196,0.94,13356591.0,20.34,801395.0,B — High Value,Patriot,Rockingham,2026-04-14,,,,,,
Exeter,858 Commerce Dr,Exeter Commercial LLC,10558158,0.93,11352858.0,20.14,794700.0,B — High Value,Vision,Rockingham,2026-04-14,,,,,,
Francestown,502 Market St,Francestown Commercial LLC,7092097,0.9,7880108.0,21.78,788011.0,B — High Value,Avitar,Hillsborough,2026-04-14,,,,,,
Newfields,726 Harbor Ave,Newfields Commercial LLC,12306167,0.94,13091667.0,17.56,785500.0,B — High Value,Patriot,Rockingham,2026-04-14,,,,,,
Henniker,874 Harbor Ave,Henniker Commercial LLC,7767348,0.91,8535547.0,23.56,768199.0,B — High Value,Avitar,Merrimack,2026-04-14,,,,,,
Exeter,795 Main St,Exeter Commercial LLC,9906726,0.93,10652394.0,20.14,745668.0,B — High Value,Vision,Rockingham,2026-04-14,,,,,,
Bristol,905 Harbor Ave,Bristol Commercial LLC,8352825,0.92,9079158.0,19.78,726333.0,B — High Value,Avitar,Grafton,2026-04-14,,,,,,
Gilmanton,734 Main St,Gilmanton Commercial LLC,4705215,0.87,5408293.0,17.21,703078.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Lebanon,990 Commerce Dr,Lebanon Commercial LLC,13245534,0.95,13942667.0,20.45,697133.0,B — High Value,Vision,Grafton,2026-04-14,,,,,,
Farmington,34 Market St,Farmington Commercial LLC,7040479,0.91,7736790.0,23.67,696311.0,B — High Value,Patriot,Strafford,2026-04-14,,,,,,
Tilton,918 Main St,Tilton Commercial LLC,9240779,0.93,9936322.0,19.45,695543.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Farmington,685 Corporate Dr,Farmington Commercial LLC,6977266,0.91,7667325.0,23.67,690059.0,B — High Value,Patriot,Strafford,2026-04-14,,,,,,
Portsmouth,120 Technology Dr,Portsmouth Commercial LLC,12523856,0.95,13183006.0,14.29,659150.0,B — High Value,Vision,Rockingham,2026-04-14,,,,,,
Somersworth,259 Main St,Somersworth Commercial LLC,8752810,0.93,9411624.0,25.67,658814.0,B — High Value,Patriot,Strafford,2026-04-14,,,,,,
Rochester,94 Harbor Ave,Rochester Commercial LLC,10156720,0.94,10805021.0,21.55,648301.0,B — High Value,Vision,Strafford,2026-04-14,,,,,,
Epping,242 Industrial Pkwy,Epping Commercial LLC,10136029,0.94,10783010.0,20.34,646981.0,B — High Value,Patriot,Rockingham,2026-04-14,,,,,,
Farmington,23 Corporate Dr,Farmington Commercial LLC,6196340,0.91,6809165.0,23.67,612825.0,B — High Value,Patriot,Strafford,2026-04-14,,,,,,
Plymouth,316 Business Park Rd,Plymouth Commercial LLC,8087268,0.93,8695987.0,21.23,608719.0,B — High Value,Avitar,Grafton,2026-04-14,,,,,,
Epping,461 Market St,Epping Commercial LLC,8562067,0.94,9108582.0,20.34,546515.0,B — High Value,Patriot,Rockingham,2026-04-14,,,,,,
Alton,648 Corporate Dr,Alton Commercial LLC,4805468,0.9,5339409.0,11.25,533941.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Litchfield,864 Industrial Pkwy,Litchfield Commercial LLC,12694402,0.96,13223335.0,19.34,528933.0,B — High Value,Patriot,Hillsborough,2026-04-14,,,,,,
Tilton,705 Harbor Ave,Tilton Commercial LLC,6941237,0.93,7463696.0,19.45,522459.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Litchfield,900 Business Park Rd,Litchfield Commercial LLC,12417063,0.96,12934441.0,19.34,517378.0,B — High Value,Patriot,Hillsborough,2026-04-14,,,,,,
Madbury,957 Main St,Madbury Commercial LLC,7987696,0.94,8497549.0,19.56,509853.0,B — High Value,Avitar,Strafford,2026-04-14,,,,,,
Madbury,216 Industrial Pkwy,Madbury Commercial LLC,7894287,0.94,8398178.0,19.56,503891.0,B — High Value,Avitar,Strafford,2026-04-14,,,,,,
Fremont,961 Harbor Ave,Fremont Commercial LLC,5658571,0.92,6150621.0,21.45,492050.0,B — High Value,Patriot,Rockingham,2026-04-14,,,,,,
Plymouth,176 Commerce Dr,Plymouth Commercial LLC,6280772,0.93,6753518.0,21.23,472746.0,B — High Value,Avitar,Grafton,2026-04-14,,,,,,
Bristol,407 Main St,Bristol Commercial LLC,5276106,0.92,5734898.0,19.78,458792.0,B — High Value,Avitar,Grafton,2026-04-14,,,,,,
Northfield,692 Commerce Dr,Northfield Commercial LLC,4079600,0.91,4483077.0,22.34,403477.0,B — High Value,Vision,Merrimack,2026-04-14,,,,,,
Epping,119 Business Park Rd,Epping Commercial LLC,6314692,0.94,6717757.0,20.34,403065.0,B — High Value,Patriot,Rockingham,2026-04-14,,,,,,
Lancaster,744 Industrial Pkwy,Lancaster Commercial LLC,4059622,0.91,4461123.0,27.34,401501.0,B — High Value,Avitar,Coos,2026-04-14,,,,,,
Henniker,128 Corporate Dr,Henniker Commercial LLC,4014929,0.91,4412010.0,23.56,397081.0,B — High Value,Avitar,Merrimack,2026-04-14,,,,,,
Lancaster,676 Main St,Lancaster Commercial LLC,3876031,0.91,4259375.0,27.34,383344.0,B — High Value,Avitar,Coos,2026-04-14,,,,,,
Madbury,497 Technology Dr,Madbury Commercial LLC,5977590,0.94,6359138.0,19.56,381548.0,B — High Value,Avitar,Strafford,2026-04-14,,,,,,
Tilton,210 Commerce Dr,Tilton Commercial LLC,5042999,0.93,5422580.0,19.45,379581.0,B — High Value,Avitar,Belknap,2026-04-14,,,,,,
Rochester,453 Market St,Rochester Commercial LLC,5288627,0.94,5626199.0,21.55,337572.0,B — High Value,Vision,Strafford,2026-04-14,,,,,,
Wakefield,459 Industrial Pkwy,Wakefield Commercial LLC,12309205,0.89,13830567.0,15.23,1521362.0,C — Monitor,Avitar,Carroll,2026-04-14,,,,,,
Northumberland,753 Commerce Dr,Northumberland Commercial LLC,9767528,0.87,11227044.0,24.67,1459516.0,C — Monitor,Avitar,Coos,2026-04-14,,,,,,
Strafford,229 Harbor Ave,Strafford Commercial LLC,12872232,0.9,14302480.0,19.45,1430248.0,C — Monitor,Patriot,Strafford,2026-04-14,,,,,,
Winchester,865 Commerce Dr,Winchester Commercial LLC,12631739,0.9,14035266.0,23.12,1403527.0,C — Monitor,Avitar,Cheshire,2026-04-14,,,,,,
Clarksville,360 Main St,Clarksville Commercial LLC,6352252,0.82,7746649.0,12.34,1394397.0,C — Monitor,Avitar,Coos,2026-04-14,,,,,,
Gorham,364 Business Park Rd,Gorham Commercial LLC,11104789,0.89,12477291.0,29.45,1372502.0,C — Monitor,Avitar,Coos,2026-04-14,,,,,,
New Durham,814 Market St,New Durham Commercial LLC,10904294,0.89,12252016.0,18.67,1347722.0,C — Monitor,Avitar,Strafford,2026-04-14,,,,,,
Weare,411 Technology Dr,Weare Commercial LLC,13288100,0.91,14602308.0,22.34,1314208.0,C — Monitor,Patriot,Hillsborough,2026-04-14,,,,,,
Conway,149 Business Park Rd,Conway Commercial LLC,13195758,0.91,14500833.0,12.45,1305075.0,C — Monitor,Patriot,Carroll,2026-04-14,,,,,,
Wakefield,869 Industrial Pkwy,Wakefield Commercial LLC,10552975,0.89,11857275.0,15.23,1304300.0,C — Monitor,Avitar,Carroll,2026-04-14,,,,,,
Walpole,208 Industrial Pkwy,Walpole Commercial LLC,14950571,0.92,16250621.0,21.23,1300050.0,C — Monitor,Avitar,Cheshire,2026-04-14,,,,,,
Loudon,838 Main St,Loudon Commercial LLC,14875732,0.92,16169274.0,21.45,1293542.0,C — Monitor,Patriot,Merrimack,2026-04-14,,,,,,
Barrington,396 Corporate Dr,Barrington Commercial LLC,14613795,0.92,15884560.0,21.34,1270765.0,C — Monitor,Patriot,Strafford,2026-04-14,,,,,,
Northwood,28 Commerce Dr,Northwood Commercial LLC,12810404,0.91,14077367.0,21.23,1266963.0,C — Monitor,Patriot,Rockingham,2026-04-14,,,,,,
Weare,196 Harbor Ave,Weare Commercial LLC,12803005,0.91,14069236.0,22.34,1266231.0,C — Monitor,Patriot,Hillsborough,2026-04-14,,,,,,
Winchester,589 Market St,Winchester Commercial LLC,11388512,0.9,12653902.0,23.12,1265390.0,C — Monitor,Avitar,Cheshire,2026-04-14,,,,,,
Epsom,689 Corporate Dr,Epsom Commercial LLC,12771802,0.91,14034947.0,21.78,1263145.0,C — Monitor,Patriot,Merrimack,2026-04-14,,,,,,
Winchester,745 Corporate Dr,Winchester Commercial LLC,11284960,0.9,12538844.0,23.12,1253884.0,C — Monitor,Avitar,Cheshire,2026-04-14,,,,,,
Newport,949 Harbor Ave,Newport Commercial LLC,12659072,0.91,13911068.0,26.78,1251996.0,C — Monitor,Avitar,Sullivan,2026-04-14,,,,,,
Warner,387 Corporate Dr,Warner Commercial LLC,12607366,0.91,13854248.0,21.23,1246882.0,C — Monitor,Avitar,Merrimack,2026-04-14,,,,,,
Wakefield,382 Market St,Wakefield Commercial LLC,10064400,0.89,11308315.0,15.23,1243915.0,C — Monitor,Avitar,Carroll,2026-04-14,,,,,,
Keene,822 Industrial Pkwy,Keene Commercial LLC,12538555,0.91,13778632.0,28.44,1240077.0,C — Monitor,Avitar,Cheshire,2026-04-14,,,,,,
